epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,528.076,0.77729,0.59311,0.01215,0.92351,0.88511,0.94155,0.73776,0.85051,0.53502,0.02087,0.0011684,0.0011684,0.0011684
44,539.764,0.77984,0.61073,0.01252,0.92291,0.86604,0.93983,0.71894,0.88042,0.58941,0.02235,0.0011486,0.0011486,0.0011486
45,551.316,0.77802,0.59637,0.01219,0.93277,0.89362,0.94669,0.73335,0.87669,0.53824,0.02219,0.0011288,0.0011288,0.0011288
46,562.589,0.78236,0.60301,0.01224,0.94439,0.86718,0.94506,0.70792,0.92146,0.50847,0.02359,0.001109,0.001109,0.001109
47,574.717,0.76988,0.59457,0.01214,0.94426,0.86502,0.93586,0.72163,0.88167,0.53808,0.02097,0.0010892,0.0010892,0.0010892
48,587.272,0.75571,0.58547,0.0116,0.94544,0.88478,0.939,0.73864,0.7875,0.53417,0.01874,0.0010694,0.0010694,0.0010694
49,601.579,0.73215,0.53719,0.01106,0.9175,0.91489,0.95904,0.73982,0.88155,0.45772,0.02268,0.0010496,0.0010496,0.0010496
50,614.13,0.75738,0.55382,0.01189,0.92288,0.91666,0.95885,0.75069,0.83258,0.47192,0.02057,0.0010298,0.0010298,0.0010298
51,625.751,0.76314,0.5747,0.01225,0.94873,0.91489,0.95942,0.7439,0.83348,0.4877,0.01969,0.00101,0.00101,0.00101
52,637.174,0.73618,0.54522,0.0115,0.9575,0.86273,0.94666,0.74726,0.78268,0.51857,0.01888,0.0009902,0.0009902,0.0009902
53,648.6,0.75251,0.54799,0.01131,0.96214,0.86507,0.95177,0.74191,0.83601,0.46681,0.02058,0.0009704,0.0009704,0.0009704
54,659.97,0.72327,0.55286,0.01075,0.9208,0.89787,0.94142,0.7431,0.79399,0.51848,0.01894,0.0009506,0.0009506,0.0009506
55,671.468,0.73019,0.54988,0.01143,0.94167,0.89307,0.94409,0.75694,0.77834,0.51896,0.01908,0.0009308,0.0009308,0.0009308
56,683.512,0.73071,0.54035,0.01088,0.90304,0.89787,0.95376,0.75627,0.77093,0.47457,0.01858,0.000911,0.000911,0.000911
57,697.695,0.70084,0.53382,0.01077,0.97301,0.88085,0.94287,0.73415,0.80846,0.52613,0.02029,0.0008912,0.0008912,0.0008912
58,709.588,0.721,0.54689,0.01064,0.96455,0.89362,0.96673,0.7834,0.74603,0.40795,0.01738,0.0008714,0.0008714,0.0008714
59,721.173,0.704,0.52617,0.01079,0.93231,0.88085,0.94706,0.74736,0.8009,0.52817,0.01948,0.0008516,0.0008516,0.0008516
