epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,68.139,0.76929,1.2089,0.01614,0.79785,0.84211,0.86891,0.53109,1.30035,1.69338,0.03756,0.0011882,0.0011882,0.0011882
43,69.568,1.20025,1.71297,0.02601,0.82131,0.89474,0.88294,0.54385,1.38357,1.63571,0.04023,0.0011684,0.0011684,0.0011684
44,71.0394,0.74154,1.19912,0.01389,0.91436,0.84211,0.86999,0.54456,1.28475,1.75883,0.03714,0.0011486,0.0011486,0.0011486
45,72.4831,0.77431,1.17162,0.01419,0.75652,0.81828,0.82326,0.57023,1.05577,1.6898,0.02995,0.0011288,0.0011288,0.0011288
46,73.9426,0.67895,1.17722,0.01127,0.90939,0.73684,0.83326,0.53846,1.16067,1.76684,0.03366,0.001109,0.001109,0.001109
47,75.378,0.67126,1.21892,0.0126,0.98621,0.73684,0.84425,0.50361,1.17427,1.89092,0.03376,0.0010892,0.0010892,0.0010892
48,76.8807,0.73775,1.24259,0.01397,0.95795,0.78947,0.86281,0.5232,1.09599,2.09442,0.03014,0.0010694,0.0010694,0.0010694
49,78.3172,0.76771,1.13301,0.01266,0.93603,0.78947,0.87436,0.53727,1.05276,1.9126,0.02887,0.0010496,0.0010496,0.0010496
50,79.7887,0.72057,1.22427,0.01503,1,0.83275,0.88466,0.55439,1.06789,1.77607,0.02947,0.0010298,0.0010298,0.0010298
51,81.1842,0.73135,1.11318,0.01435,0.93958,0.89474,0.89402,0.60818,1.11241,1.55209,0.03165,0.00101,0.00101,0.00101
52,82.7542,0.74771,1.03057,0.01495,0.98951,0.84211,0.90632,0.68813,1.02939,1.18925,0.02836,0.0009902,0.0009902,0.0009902
53,84.1823,0.77385,1.00066,0.01522,1,0.88194,0.91321,0.70112,0.99877,1.1969,0.02681,0.0009704,0.0009704,0.0009704
54,85.6314,0.69215,0.98283,0.01477,0.99503,0.89474,0.91395,0.68694,1.04855,1.06231,0.02825,0.0009506,0.0009506,0.0009506
55,87.0509,0.7127,0.95024,0.01259,0.89153,0.89474,0.90014,0.69703,1.08318,1.02491,0.02834,0.0009308,0.0009308,0.0009308
56,88.5355,0.71091,1.11089,0.01362,0.98736,0.89474,0.90125,0.71685,1.02822,0.89313,0.02618,0.000911,0.000911,0.000911
57,89.9698,0.70646,1.14334,0.01373,0.8942,0.88993,0.88938,0.68623,1.11145,0.89459,0.02935,0.0008912,0.0008912,0.0008912
58,91.3884,0.68472,0.97881,0.01238,0.98609,0.84211,0.89447,0.68043,1.1701,0.84023,0.03135,0.0008714,0.0008714,0.0008714
59,92.8257,0.63777,0.94199,0.01135,1,0.89097,0.89974,0.68427,1.14532,0.79505,0.02995,0.0008516,0.0008516,0.0008516
60,94.3651,0.63592,0.82771,0.01108,1,0.89472,0.90113,0.74851,0.88748,0.69318,0.02181,0.0008318,0.0008318,0.0008318
61,95.7899,0.5683,0.78148,0.01087,0.99876,0.89474,0.90202,0.75302,0.87875,0.6453,0.02232,0.000812,0.000812,0.000812
62,97.2239,0.62163,0.8825,0.01219,0.98843,0.89474,0.90256,0.73689,0.89122,0.65838,0.023,0.0007922,0.0007922,0.0007922
63,98.7199,0.69206,0.87695,0.01185,0.99086,0.89474,0.90478,0.74039,0.98413,0.68244,0.02594,0.0007724,0.0007724,0.0007724
64,100.171,0.64911,0.83181,0.0112,0.89022,0.89474,0.8943,0.74106,0.95397,0.64179,0.02483,0.0007526,0.0007526,0.0007526
65,101.721,0.69288,0.80238,0.0112,0.94367,0.88231,0.92598,0.75613,0.83993,0.62833,0.02158,0.0007328,0.0007328,0.0007328
66,103.123,0.60407,0.73048,0.0102,0.88995,0.89474,0.91534,0.74869,0.81517,0.63736,0.02065,0.000713,0.000713,0.000713
67,104.592,0.619,0.76143,0.01047,0.92578,0.84211,0.92058,0.75001,0.88809,0.60957,0.02291,0.0006932,0.0006932,0.0006932
68,106.078,0.63899,0.73817,0.01155,0.97897,0.89474,0.92888,0.77506,0.79437,0.68391,0.01961,0.0006734,0.0006734,0.0006734
69,107.507,0.54909,0.73358,0.0094,0.99205,0.73684,0.90672,0.78494,0.74222,0.63514,0.01838,0.0006536,0.0006536,0.0006536
70,108.964,0.52772,0.70907,0.00968,0.93658,0.84211,0.92769,0.77797,0.77953,0.583,0.01947,0.0006338,0.0006338,0.0006338
71,110.392,0.56868,0.95164,0.01102,0.86716,0.84211,0.91574,0.76586,0.81618,0.61115,0.02094,0.000614,0.000614,0.000614
72,111.859,0.83778,1.09868,0.02022,0.92867,0.89474,0.93211,0.77094,0.78162,0.53205,0.0196,0.0005942,0.0005942,0.0005942
73,113.255,0.56377,0.69888,0.00991,0.84767,0.89474,0.91351,0.75882,0.75611,0.5763,0.01873,0.0005744,0.0005744,0.0005744
74,114.698,0.48958,0.70956,0.00862,0.97523,0.84211,0.92338,0.75237,0.81564,0.57387,0.02057,0.0005546,0.0005546,0.0005546
75,116.162,0.59283,0.76101,0.01212,0.94343,0.87835,0.92852,0.76686,0.85477,0.56761,0.02175,0.0005348,0.0005348,0.0005348
76,117.639,0.61446,0.73763,0.01123,0.8905,0.89474,0.92216,0.76438,0.826,0.68178,0.02254,0.000515,0.000515,0.000515
77,119.211,0.56884,0.76169,0.00941,0.9436,0.88109,0.92556,0.75926,0.79104,0.70242,0.02137,0.0004952,0.0004952,0.0004952
78,120.683,0.6696,0.79067,0.01216,0.99086,0.84211,0.92556,0.76652,0.80997,0.56019,0.02015,0.0004754,0.0004754,0.0004754
79,122.118,0.55848,0.706,0.00844,0.99062,0.84211,0.92307,0.76189,0.79521,0.54818,0.0204,0.0004556,0.0004556,0.0004556
80,123.601,0.52751,0.692,0.00845,0.94381,0.88448,0.92437,0.75427,0.79519,0.53269,0.02077,0.0004358,0.0004358,0.0004358
